title,description,source,source_type,api_source,url,publishedAt,date,link
Can Australia be both a gas giant and a climate leader?,"Seven years after it was first mooted, the extension of Australia's biggest gas project could not have landed at a more critical juncture for the nation's climate credentials.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-13/north-west-shelf-extension-part-of-climate-conversation/105766008,2025-09-12T19:44:21Z,,
Jandakot residents trapped with ‘unsellable’ rural properties due to groundwater contaminated with PFAS,Jandakot residents trapped with ‘unsellable’ rural properties due to groundwater contaminated with PFAS7news.com.au,"{'id': None, 'name': '7NEWS.com.au'}",Economic,NewsAPI,https://7news.com.au/news/jandakot-residents-trapped-with-unsellable-rural-properties-due-to-groundwater-contaminated-with-pfas-c-19995499,2025-09-12T03:08:40Z,,
Calls for SA gulfs to be shut to protect 'near-non-existent' stocks amid algal bloom,Commercial fishers in the Gulf St Vincent tell a Senate inquiry it would be best to close the area in order to save the future of the catch and the industry.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-12/calls-for-fishing-ban-amid-toxic-algal-bloom/105763810,2025-09-11T23:39:18Z,,
Cormann urges open mind about nuclear power amid climate target debate,"Secretary-General of the OECD and former Coalition finance minister Mathias Cormann suggests Australians keep an open mind to nuclear power, saying there isn't ""anything inherently partisan"" about the energy source.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/oecd-mathias-cormann-australia-nuclear-policy-climate-target/105764162,2025-09-11T09:43:57Z,,
'Bubble curtain' ready for use as SA's algal bloom persists,"A ""bubble curtain"" is set for activation as part of South Australia's fight against the ongoing algal bloom, as the state government defends its handling of health advice.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/algal-bloom-bubble-curtain-ready-as-asthma-advice-defended/105761978,2025-09-11T07:33:59Z,,
A Nampijinpa Price-sized chink in Ley's armour and an Albanese fashion faux pas,The Jacinta Nampijinpa Price saga is a chink in Sussan Ley's armour and at the very least has handed Labor a helluva lot of material for their 2028 election campaign.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/jacinta-nampijinpa-price-sussan-ley-armour-election/105745506,2025-09-11T06:11:45Z,,
"King Charles hosts SA premier, who 'would love' royal visit at climate summit","SA Premier Peter Malinauskas meets with the sovereign on an official visit to the United Kingdom, during which he also signs an agreement with nuclear reactor manufacturer Rolls-Royce regarding the AUKUS submarine agreement.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/king-charles-hosts-meeting-with-sa-premier-peter-malinauskas/105760222,2025-09-10T23:07:30Z,,
'Sky's the limit' for Claudia Hollingsworth at World Athletics Championships,"National record holder, Claudia Hollingsworth knows that the sky is the limit on her career. With a superstition for jellybeans before each race, the Australian star is ready to take on the World Athletics Championships in Tokyo.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/claudia-hollingsworth-world-athletics-championship/105756644,2025-09-10T22:11:18Z,,
WA's other goldfields are so bright they can be seen from space,"Stunning photos of Western Australia's canola crops can be seen in much of the countryside, on social media and in satellite images.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/satellite-images-show-wa-canola-fields-visible-from-space/105739264,2025-09-10T22:05:31Z,,
New electric ute sparks interest on farms but diesel still dominates,"The Ford F150 Lightning is being touted as the first viable EV for farm work, but it comes with a hefty price tag.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/new-ford-electric-ute-will-farmers-use-ev/105747446,2025-09-10T20:48:43Z,,
SA mum slams health authorities for 'irresponsible' handling of algal bloom advice,"A South Australian mother of a teenager with asthma says it was ""irresponsible"" of health authorities not to communicate updated advice more widely, amid the state's harmful algal bloom.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/sa-mum-calls-for-stronger-algal-bloom-health-advice/105759034,2025-09-10T20:25:21Z,,
"How snail mucin, salmon sperm and 'glass skin' have lured skincare shoppers","Once considered niche, K-beauty products are now everywhere — from luxury department stores to local pharmacies and even supermarkets. It is one of the fastest-growing sectors in the Australian cosmetics landscape.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/the-rise-of-k-beauty-as-australia-market-size-swells/105753808,2025-09-10T19:53:25Z,,
Australian glove-maker Ansell accused of exploiting workers,Melbourne-based company Ansell has confirmed it investigated allegations at a Malaysian factory and identified issues that do not meet labour standards.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/ansell-gloves-factory-workers-alleged-exploitation-malaysia/105730848,2025-09-10T19:25:54Z,,
Australia wants to expand a massive gas project but Pacific nations aren't happy,"Australia's move to expand Woodside's North West Shelf gas project has not been welcomed in the Pacific, which is fighting the most dramatic effects of climate change.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-11/vanuatu-warns-australia-about-expansion-of-woodside-gas-project/105759934,2025-09-10T18:48:43Z,,
Paediatricians warn too many children are being wrongly diagnosed with autism,"‘Unfortunately, we’ve set up a model that didn’t work in the first place and we now have to reinvent it.’","{'id': None, 'name': '7NEWS.com.au'}",Economic,NewsAPI,https://7news.com.au/news/paediatricians-warn-too-many-children-are-being-wrongly-diagnosed-with-autism-c-19977416,2025-09-10T10:28:45Z,,
Call for targeted asthma advice as authorities defend bloom health messaging,"Authorities are defending the handling of changed public health advice relating to South Australia's algal bloom, amid ongoing warnings to asthmatics about contaminated sea spray.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-10/algal-bloom-asthma-warning-defended-amid-toxin-testing-questions/105756710,2025-09-10T05:44:15Z,,
Vaccine approval offers hope for at-risk koala populations,"Australia's vet regulator approves a koala chlamydia vaccine for nationwide rollout, offering new hope in the fight against the potentially fatal sexually transmitted disease.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-10/koala-chlamydia-vaccine-approved-for-australia-wide-rollout/105747236,2025-09-09T21:32:44Z,,
How a tiny beetle became one of Australia's biggest biosecurity threats,"It's barely the size of a sesame seed, but the shot hole borer has quickly devastated Western Australia's tree canopy. Experts are warning other states and territories to take action now to avoid a similar fate.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-10/shot-hole-borer-tree-threat-australia/105740250,2025-09-09T21:15:20Z,,
"Lead in water at PCH 'no risk' to safety, says health minister","High levels of lead detected in the water at Perth Children's Hospital do not pose a risk to patient safety, health authorities say.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-09/lead-in-water-at-perth-childrens-hospital/105755282,2025-09-09T09:51:10Z,,
Border Force turns to popular app to help fight illegal fishing,"The Australian Border Force is launching a reporting function on a popular fishing app, but stakeholders in the far north say the technology means little without more boots on the ground.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-09/border-force-recfishwest-app-illegal-fishing/105751918,2025-09-09T06:45:45Z,,
"Health authorities update asthma advice on bloom, scientists say full extent of damage unknown",Health authorities have told the opening public hearing of a Senate inquiry into South Australia's algal bloom they have escalated their health advice and are now recommending people with asthma carry their medication on the state's beaches when foam is prese…,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-09/algal-bloom-senate-inquiry-told-of-asthma-health-impact/105753476,2025-09-09T05:25:24Z,,
'We need more students to finish school': Education minister proposes public school shake-up,"Australia's education minister believes a new super commission will address rising school dropout rates, but he still needs to convince the states to support a greater federal role, writes Conor Duffy.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-09/teaching-and-learning-commission-education-minister-analysis/105751824,2025-09-09T03:03:36Z,,
Flight delays and cancellations could lead to cash refunds under new Aviation Consumer Protections scheme,Flight delays and cancellations could lead to cash refunds under new Aviation Consumer Protections scheme7news.com.au,"{'id': None, 'name': '7NEWS.com.au'}",Economic,NewsAPI,https://7news.com.au/news/flight-delays-and-cancellations-could-lead-to-cash-refunds-under-new-aviation-consumer-protections-scheme-c-19956463,2025-09-09T02:09:45Z,,
Real time AI monitoring of bee hives hope to stop destructive pest,"AI-enabled sentry hives will soon line the main route to Western Australia from South Australia, using cameras and 4G to detect varroa mite.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-09/bee-technology-helps-keep-wa-safe-from-varroa-mite/105738478,2025-09-08T22:35:40Z,,
Supersized sex-switching oyster invading Australian waters,"A problematic oyster species that can grow up to 24 centimetres long is spreading through Queensland, with the potential to invade much of the nation's coastline.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/rural/2025-09-09/suminoe-chinese-river-oyster-threatens-biosecurity/105749928,2025-09-08T22:07:40Z,,
Timber industry counts cost of ban from Great Koala National Park,"The timber industry says, despite years of consultation, it has been ignored after 176,000 hectares of NSW state forest was ruled off-limits to loggers.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-09/nsw-timber-industry-shocked-by-logging-ban/105747810,2025-09-08T20:13:22Z,,
"Financial fallout of Woolworths, Coles underpayments could climb past $1 billion","Supermarket giants Coles and Woolworths expect to spend hundreds of millions of dollars more to repay staff the companies underpaid, following a legal judgement experts say could have wide-reaching implications.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-08/coles-woolworths-underpayment-court-judgement-fallout/105747578,2025-09-08T06:38:20Z,,
Charges dropped against teen accused of threatening staff and students at Adelaide high school,An 18-year-old was charged in May over alleged threats to use explosives and poisons to target a school and public events in Adelaide.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-08/glenunga-school-charges-dropped-teenager/105747362,2025-09-08T02:16:30Z,,
Australia-China trade gifts in Solomon Islands as Pacific battle gets 'comical',"Anthony Albanese begins a long Pacific tour this week ahead of the Pacific Islands Forum meeting in Solomon Islands, as the battle for influence between China and Australia continues to create headlines.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-08/pacific-islands-forum-china-australia-albanese-visit/105745850,2025-09-07T22:21:41Z,,
"What links a skate park, pine trees and 1960s flats? Heritage status","The city of Canberra may only be 112 years old, but it has many things worth preserving, like a brick skate park in the south, and pine trees and 1960s flats in the north. But there can be hurdles to recognising and preserving heritage as the city grows.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-08/preserving-history-while-allowing-growth-act-heritage-register/105744942,2025-09-07T21:16:03Z,,
Interstate greyhound racing supporters target Tasmanian government over ban,"Participants at interstate greyhound race meets are showing their support for Tasmania's industry, lobbying the state government to drop its planned greyhound racing ban.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-08/greyhound-advocates-lobby-tasmanian-government-ahead-of-shutdown/105724644,2025-09-07T21:12:19Z,,
Businesses say getting an export grant is harder than getting a Taylor Swift ticket,"Cosmetics entrepreneurs through to tech developers say Austrade's signature export grant has become unfair, badly managed and opaque, all while many are struggling to adjust to Donald Trump's US tariffs.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-08/exporters-stressed-and-angry-about-emdg-grant/105734456,2025-09-07T20:08:31Z,,
Labor MP calls for WA government to scrap controversial street circuit plans,One of WA's highest-ranking Labor MPs has called on the state government to abandon controversial plans to build an entertainment precinct and street circuit in Burswood.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-07/federal-perth-mp-wants-burswood-street-circuit-scrapped/105744928,2025-09-07T01:32:37Z,,
"These frogs are tiny, but their very existence is a huge sign of hope","For the first time, researchers have been able to successfully breed and release into the wild an endangered species of mountain frog.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-07/endangered-red-yellow-mountain-frogs-breeding-and-release/105739950,2025-09-07T00:25:07Z,,
First millennial saint to be canonised by Pope Leo at the Vatican,"Carlo Acutis, an Italian teenager who died in 2006, will today become the first saint of the internet age.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-07/carlo-acutis-first-millennial-saint-in-sneakers-gods-influencer-/105627918,2025-09-06T20:57:31Z,,
AFL boss concedes funding cuts have hurt First Nations talent pathways,"Ten years after AFL great Adam Goodes was forced to leave the game, Indigenous player numbers have dwindled, online racist abuse is rife and insiders say elite private schools have dramatically narrowed the talent pathways. How can the league turn it around?","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-07/afl-indigenous-representation-racism/105739448,2025-09-06T20:35:32Z,,
"Deep below the ocean's surface, a global fight is brewing",A push to extract minerals from the depths of the Pacific Ocean is gaining momentum. Here is how it works and why it has become a global flashpoint.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-07/deep-sea-mining-explained-as-global-fight-brews/105725488,2025-09-06T20:11:57Z,,
A banned pesticide is showing up in blueberries. No-one can find the source,A scientist investigating why pesticides were appearing in marine life discovers a banned chemical on NSW berries. The underwhelming response from the government has exposed regulatory blind spots in the system meant to protect consumers.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-07/pesticide-review-thiometon-dimethoate-blueberries-raspberries/105701674,2025-09-06T19:05:51Z,,
"The timeline, faces and places in Porepunkah's police hunt",Authorities are searching for alleged police shooter Dezi Freeman in the north-east Victorian town of Porepunkah. Here's what we know about the search so far.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-06/dezi-freeman-porepunkah-shooting-timeline-evidence/105731142,2025-09-05T23:32:40Z,,
Is Labor getting cold feet on its superannuation tax plan?,This week in Canberra the government seemed to be getting cold feet on its superannuation tax plan and the Coalition reckoned Labor was being less than transparent.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-06/superannuation-freedom-of-information-jim-chalmers-jacinta-price/105720438,2025-09-05T19:00:00Z,,
A new world order is emerging but Australia's defence remains tied to the US,"China's display of an array of naval weaponry and assets, as opposed to land-based ones, could hardly have been less subtle.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-06/china-aukus-united-states-xi-jinping/105720442,2025-09-05T19:00:00Z,,
"NT government passes new police laws, pulls anti-discrimination reforms","The Northern Territory government urgently passes legislation to establish a new police rank this week, after pulling anti-discrimination reforms from the agenda.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/nt-parliament-new-police-rank-clp-ppso-anti-discrimination-bill/105735182,2025-09-05T08:22:54Z,,
Portrait of Tina Arena unveiled to mark 50-year music career,The new portrait comes in two parts — known as a diptych — and will be on display at the National Portrait Gallery from September 6 to mark Tina Arena's 50-year career.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/tina-arena-50-year-career-portrait-gallery/105738816,2025-09-05T04:08:34Z,,
Tammin celebrates pioneering academic who studied its trapdoor spiders,"Tammin residents are celebrating a 50-year study into trapdoor spiders that unearthed the world's oldest recorded arachnid, and is still going strong.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/trapdoor-spider-tammin-professor-york-main/105671634,2025-09-05T02:01:48Z,,
Are Myanmar's upcoming elections a 'peace-building process' or a 'trap'?,"Nearly five years ago, Myanmar's military seized power, plunging the country into a bloody civil war that left the junta internationally isolated. Now, with no end to the conflict in sight, Myanmar is going to the polls again.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/myanmar-election-pathway-peace-trap/105733420,2025-09-05T00:50:59Z,,
Recreational shooter says culled WA deer look to have suffered,A South West recreational shooter has criticised the WA government's deer aerial cull program after finding several deer with multiple bullet wounds on crown land.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/concerns-raised-over-deer-cull-western-australia/105724338,2025-09-05T00:02:53Z,,
Australian-made Hollow Knight: Silksong video games set to break records,"After years of silence, Team Cherry has released their sequel to one of the most successful Australian-made games of all time, which is expected to break records.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-05/hollow-knight-silksong-explainer-team-cherry/105727946,2025-09-04T23:19:53Z,,
Is Australia's promised green hydrogen industry ever going to happen?,Billions of dollars in private investment are being pulled out of green hydrogen projects.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/hydrogen-australia-energy-jobs-environment-climate/105677690,2025-09-04T05:18:43Z,,
Regional Murray River Mardi Gras idea floated for LGBTQIA+ community,"With few public LGBTQIA+ celebrations in Mildura, a community campaign for a mardi gras is gaining momentum.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/lgbtqia-event-mardi-gras-regional-victoria-mp-river-mildura/105480660,2025-09-03T23:31:31Z,,
Tenants say Victorian affordable housing scheme is flawed,"A year after they moved into an ""affordable"" apartment in a new public-private housing development in inner Melbourne, Alix and Tiarn were told their rent would increase by 17 per cent. They say their experience highlights flaws in the model the Victorian gov…","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/ground-lease-affordable-housing-model-flawed-tenants-say/105730686,2025-09-03T19:19:39Z,,
"Aussie housing affordability at record lows, but first timers still buying","Housing affordability remains around record lows, despite recent rate cuts, but it is not stopping an above-average number of first-time buyers from entering the market, according to a new report.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-04/record-low-housing-affordability-for-first-home-buyers/105729220,2025-09-03T14:01:00Z,,
"Labor push to water down information laws, reduce transparency","The government will argue the ""proper functioning"" of government is hampered by disclosure laws and push for wide-ranging restrictions on the information that can be released to the public.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-03/labor-to-water-down-information-laws/105729886,2025-09-03T07:22:52Z,,
Nine Sydney suburbs identified as priority areas for social housing,Researchers have identified the nine priority areas for social housing builds in Sydney — but there are concerns the Not In My Backyard movement could prove a challenge in community sentiment towards new developments.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-03/priority-areas-social-housing-in-sydney-earmarked-new-research/105709134,2025-09-02T20:04:53Z,,
This Aussie refugee family made headlines. Now their story is on stage,The Nadesalingam family's immigration nightmare has been transformed into a work of theatre that will have its world premiere at Brisbane Festival.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-03/back-to-bilo-brisbane-festival-immigration-nadesalingam/105720690,2025-09-02T19:58:35Z,,
'Great outcome' or simply unaffordable? Debate over Melbourne redevelopment heats up,"The redevelopment of the 150-year-old Queen Victoria Market has been described as the ""biggest renewal"" in its history with thousands of new homes promised, but some critics say the plans don't do enough for affordability.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-02/queen-victoria-market-redevelopment-housing-boost/105722108,2025-09-02T05:38:43Z,,
Glazier working 90-hour weeks warns housing targets may be unachievable,"As tradespeople work long hours to meet demand and fewer school leavers choose apprenticeships, industry leaders say Australia does not have the workforce to meet its ambitious housing goals.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-02/fears-trades-skills-shortage-may-undermine-vic-housing-targets/105698356,2025-09-02T00:26:03Z,,
How 'edible shelters' for sheep could boost lamb survival rates,"Scientists hope shrubs will help to improve the survival of lambs, particularly twins, on West Australian farms, by providing windbreaks and food for the animals.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-01/edible-shelters-for-sheep-could-boost-lamb-survival-rates/105704046,2025-08-31T23:37:16Z,,
Experts say weekend anti-immigration rallies raise 'concerning development',"Members of the multicultural community describe fear and hurt after the weekend's anti-immigration demonstrations, while experts raise concerns about far-right groups.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-01/weekend-anti-immigration-rallies/105718340,2025-08-31T20:12:16Z,,
Voice note shows WA police officer laughed at prisoner's death days after he asked for help,The ABC has obtained a voice recording of a WA police officer laughing about the suicide of an Aboriginal prisoner. It comes as new data shows the state has the highest rates of Indigenous deaths in custody in Australia.,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-09-01/wa-police-officer-ignored-prisoner-suicide-threat-before-death/105506456,2025-08-31T18:37:01Z,,
"Australia keeps pumping house prices, while Trump pursues 'state-run capitalism'","President Donald Trump opens the door to ""state-run capitalism"" in the US, while Australia keeps pumping house prices.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-31/australia-keeps-pumping-house-prices-trump-state-run-capitalism/105711838,2025-08-30T21:33:35Z,,
"Amid Russia's invasion, some Ukrainians have to 'fight like it's the 1940s'","Australian troops are among a group of allies helping train Ukrainian soldiers in England. Despite technological advances in war, sometimes it's about getting back to basics.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-31/australian-soldiers-helping-train-ukrainian-troops-in-england/105710172,2025-08-30T19:11:45Z,,
Inside the world of 'sovcits' and the pseudolaw keeping their conspiracies alive,"""Sovereign citizens"" believe Australian laws do not apply to them. That's where pseudolaw comes in.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-31/sovereign-citizen-sovcit-pseudolaw-porepunkah/105711958,2025-08-30T19:00:00Z,,
Country legend's nephew takes 'deadly' school of rock to remote kids,"Fronted by the kin of Aussie music royalty, Elvis Kernaghan and The Min Min Lights turn outback classrooms into rock concerts.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-30/elvis-min-min-lights-outback-music-school-workshops-tour/105706984,2025-08-29T23:23:48Z,,
'Destroying aspirations': Filmmakers still waiting on content quotas,"With promised local content requirements for streaming services delayed indefinitely, Australian filmmakers say the local industry is hurting.","{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Economic,NewsAPI,https://www.abc.net.au/news/2025-08-30/delays-to-content-quotas-for-streaming-services-hurting-industry/105680966,2025-08-29T22:25:26Z,,
